category,premium,52KH,share,30avg,jk,last_price,myprice,setlow,range,cname,disct,52KL,SID,current_price,volumn
IN,-0.43%,2.485,2700,3.50亿,2.312,2.305,2.332,1.89,60.74,上证50ETF,,2.052,SH510050,￥2.315,285.31亿
IN,-0.26%,3.648,,1.62亿,3.340,,,2.8,51.77,华泰沪深300,,3.026,SH510300,￥3.348,174.12亿
IN,0.62%,2.201,8500,3.24亿,1.709,1.739,1.858,1.74,5.38,创业板,,1.699,SZ159915,￥1.726,47.52亿
IN,0.00%,1.030,,-,0.861,,,0.88,6.74,中证1000,,0.852,SH512100,￥0.864,1.14亿
IN,0.58%,1.177,3300,1.79亿,1.099,1.103,0.494,0.8,78.42,H股ETF,,0.848,SH510900,￥1.106,83.44亿
IN,1.62%,1.155,,84.18万,1.135,,,0.81,91.29,德国30,,0.845,SH513030,￥1.128,1.62亿
IN,1.37%,2.076,100,83.99万,2.063,1.973,1.973,1.5,99.32,纳值ETF,,1.492,SH513100,￥2.072,2.93亿
IN,1.69%,1.996,100,127.55万,1.558,1.538,1.538,1.14,42.76,标普500,,1.222,SH513500,￥1.553,3.91亿
ZT,-0.54%,1.174,6700,154.78万,0.924,0.925,0.967,0.9,1.95,白银基金(国泰商品),,0.917,SZ161226,￥0.922,4.34亿
ZT,0.50%,0.775,100,6812.66万,0.602,0.737,0.737,0.43,23.35,华宝油气,,0.548,SZ162411,￥0.601,30.07亿
ZT,2.00%,1.090,800,-,0.951,1.005,1.011,0.96,12.03,精准医疗(广发医药),,0.932,SH501005,￥0.951,5.44亿
