category,premium,52KH,share,30avg,jk,last_price,myprice,setlow,range,cname,disct,52KL,SID,current_price,volumn
IN,2.75%,2.485,1000,3.50亿,2.394,2.463,2.19,1.89,96.43,上证50ETF,,2.065,SH510050,￥2.470,304.41亿
IN,1.89%,3.648,,1.62亿,3.417,,,2.8,75.04,华泰沪深300,,3.027,SH510300,￥3.493,181.66亿
IN,-0.08%,2.201,9900,3.24亿,1.698,1.701,1.836,1.74,8.46,创业板,,1.657,SZ159915,￥1.703,46.89亿
IN,1.00%,1.030,,-,0.818,,,0.88,11.64,中证1000,,0.798,SH512100,￥0.825,1.09亿
IN,1.04%,1.177,3300,1.79亿,1.141,1.103,0.494,0.8,91.83,H股ETF,,0.871,SH510900,￥1.152,86.91亿
IN,-0.53%,1.169,,84.18万,1.128,,,0.81,84.88,德国30,,0.845,SH513030,￥1.120,1.61亿
IN,1.12%,2.082,100,83.99万,2.074,1.973,1.973,1.5,100.0,纳值ETF,,1.492,SH513100,￥2.082,2.95亿
IN,0.66%,1.996,100,127.55万,1.525,1.538,1.538,1.14,40.18,标普500,,1.222,SH513500,￥1.533,3.86亿
ZT,-0.21%,1.174,6700,154.78万,0.940,0.925,0.967,0.9,10.08,白银基金(国泰商品),,0.916,SZ161226,￥0.942,4.43亿
ZT,-0.50%,0.775,100,6812.66万,0.595,0.737,0.737,0.43,21.78,华宝油气,,0.550,SZ162411,￥0.599,29.97亿
ZT,0.00%,1.090,800,-,0.919,1.005,1.011,0.96,11.05,精准医疗(广发医药),,0.900,SH501005,￥0.921,5.27亿
