category,premium,52KH,share,30avg,jk,last_price,myprice,setlow,range,cname,disct,52KL,SID,current_price,volumn
FD,0%,3.239,,8.62万,3.074,,,2,75.78,国泰小盘,,2.533,SZ160211,￥3.068,29.99亿
FD,0%,100.078,503,3.02亿,100.000,100,99.985,99,88.93,华宝添益,,99.500,SH511990,￥100.014,653.12亿
FD,0.02%,102.648,100,9494.07万,101.370,100.473,100.473,99,50.69,银华日利,,100.095,SH511880,￥101.389,256.63亿
FD,0.17%,1.229,100,1200.75万,1.024,1.126,1.126,1.02,14.53,信息技术,,0.995,SZ159939,￥1.029,3.63亿
FD,1.00%,0.917,103,451.54万,0.790,0.827,0.827,0.7,48.9,一带一路,,0.690,SH502013,￥0.801,15.37亿
FD,1.00%,1.088,100,-,0.817,1.057,1.057,0.88,9.93,军工基金,,0.796,SH512680,￥0.825,2.31亿
FD,-15.32%,1.596,1100,333.73万,0.934,1.116,1.256,1,2.5,九泰锐智,,0.917,SZ168101,￥0.934,3.36亿
CN,4.00%,1.170,2500,-,0.944,0.976,1.088,1,21.79,证券ETF,,0.936,SH512880,￥0.987,1.80亿
CN,2.00%,1.360,,36.06万,1.360,,,0.97,89.55,深红利(深证红利),,1.025,SZ159905,￥1.325,2.32亿
ZT,-5.82%,0.670,,897.50万,0.466,,,0.4,15.55,养老B,,0.432,SZ150306,￥0.469,1444.25万
ZT,-2.53%,1.072,,1.46亿,0.739,,,0.49,15.79,环保B,,0.692,SZ150185,￥0.752,2.38亿
