date,date_format,open,close
"Dec 12, 2016",20161112,19770.2,19796.43
"Dec 9, 2016",20161109,19631.35,19756.85
"Dec 8, 2016",20161108,19559.94,19614.81
"Dec 7, 2016",20161107,19241.99,19549.62
"Dec 6, 2016",20161106,19219.91,19251.78
"Dec 5, 2016",20161105,19244.35,19216.24
"Dec 2, 2016",20161102,19161.25,19170.42
"Dec 1, 2016",20161101,19149.2,19191.93
"Nov 30, 2016",20161130,19135.64,19123.58
"Nov 29, 2016",20161129,19064.07,19121.6
"Nov 28, 2016",20161128,19122.14,19097.9
"Nov 25, 2016",20161125,19093.72,19152.14
"Nov 23, 2016",20161123,19015.52,19083.18
"Nov 22, 2016",20161122,18970.39,19023.87
"Nov 21, 2016",20161121,18898.68,18956.69
"Nov 18, 2016",20161118,18905.33,18867.93
"Nov 17, 2016",20161117,18866.22,18903.82
"Nov 16, 2016",20161116,18909.85,18868.14
"Nov 15, 2016",20161115,18858.21,18923.06
"Nov 14, 2016",20161114,18876.77,18868.69
"Nov 11, 2016",20161111,18781.65,18847.66
"Nov 10, 2016",20161110,18603.14,18807.88
"Nov 9, 2016",20161109,18317.26,18589.69
"Nov 8, 2016",20161108,18251.38,18332.74
"Nov 7, 2016",20161107,17994.64,18259.6
"Nov 4, 2016",20161104,17928.35,17888.28
"Nov 3, 2016",20161103,17978.75,17930.67
"Nov 2, 2016",20161102,18017.72,17959.64
"Nov 1, 2016",20161101,18158.24,18037.1
"Oct 31, 2016",20161031,18176.6,18142.42
"Oct 28, 2016",20161028,18193.79,18161.19
"Oct 27, 2016",20161027,18234.81,18169.68
"Oct 26, 2016",20161026,18103.8,18199.33
"Oct 25, 2016",20161025,18206.52,18169.27
"Oct 24, 2016",20161024,18197.14,18223.03
"Oct 21, 2016",20161021,18152.63,18145.71
"Oct 20, 2016",20161020,18161.87,18162.35
"Oct 19, 2016",20161019,18178.21,18202.62
"Oct 18, 2016",20161018,18145.06,18161.94
"Oct 17, 2016",20161017,18135.85,18086.4
"Oct 14, 2016",20161014,18177.35,18138.38
"Oct 13, 2016",20161013,18088.32,18098.94
"Oct 12, 2016",20161012,18132.63,18144.2
"Oct 11, 2016",20161011,18308.43,18128.66
"Oct 10, 2016",20161010,18282.95,18329.04
"Oct 7, 2016",20161007,18295.35,18240.49
"Oct 6, 2016",20161006,18280.42,18268.5
"Oct 5, 2016",20161005,18205.5,18281.03
"Oct 4, 2016",20161004,18267.68,18168.45
"Oct 3, 2016",20161003,18279.6,18253.85
"Sep 30, 2016",20160930,18181.8,18308.15
"Sep 29, 2016",20160929,18322.88,18143.45
"Sep 28, 2016",20160928,18240.22,18339.24
"Sep 27, 2016",20160927,18099.21,18228.3
"Sep 26, 2016",20160926,18217.76,18094.83
"Sep 23, 2016",20160923,18377.36,18261.45
"Sep 22, 2016",20160922,18343.76,18392.46
"Sep 21, 2016",20160921,18164.96,18293.7
"Sep 20, 2016",20160920,18175.36,18129.96
"Sep 19, 2016",20160919,18154.82,18120.17
"Sep 16, 2016",20160916,18217.21,18123.8
"Sep 15, 2016",20160915,18024.91,18212.48
"Sep 14, 2016",20160914,18073.39,18034.77
"Sep 13, 2016",20160913,18262.99,18066.75
"Sep 12, 2016",20160912,18028.95,18325.07
"Sep 9, 2016",20160909,18404.17,18085.45
"Sep 8, 2016",20160908,18486.69,18479.91
"Sep 7, 2016",20160907,18527.71,18526.14
"Sep 6, 2016",20160906,18493.4,18538.12
"Sep 2, 2016",20160902,18466.01,18491.96
"Sep 1, 2016",20160901,18396.57,18419.3
"Aug 31, 2016",20160831,18436.7,18400.88
"Aug 30, 2016",20160830,18491.28,18454.3
"Aug 29, 2016",20160829,18421.29,18502.99
"Aug 26, 2016",20160826,18467.92,18395.4
"Aug 25, 2016",20160825,18471.21,18448.41
"Aug 24, 2016",20160824,18537.5,18481.48
"Aug 23, 2016",20160823,18568.94,18547.3
"Aug 22, 2016",20160822,18535.86,18529.42
"Aug 19, 2016",20160819,18585.17,18552.57
"Aug 18, 2016",20160818,18566.54,18597.7
"Aug 17, 2016",20160817,18537.09,18573.94
"Aug 16, 2016",20160816,18614.48,18552.02
"Aug 15, 2016",20160815,18588.59,18636.05
"Aug 12, 2016",20160812,18595.65,18576.47
"Aug 11, 2016",20160811,18519.08,18613.52
"Aug 10, 2016",20160810,18541.48,18495.66
"Aug 9, 2016",20160809,18538.05,18533.05
"Aug 8, 2016",20160808,18540.65,18529.29
"Aug 5, 2016",20160805,18402.8,18543.53
"Aug 4, 2016",20160804,18351.43,18352.05
"Aug 3, 2016",20160803,18313.08,18355.0
"Aug 2, 2016",20160802,18401.15,18313.77
"Aug 1, 2016",20160801,18434.5,18404.51
"Jul 29, 2016",20160729,18442.52,18432.24
"Jul 28, 2016",20160728,18461.01,18456.35
"Jul 27, 2016",20160727,18473.27,18472.17
"Jul 26, 2016",20160726,18497.37,18473.75
"Jul 25, 2016",20160725,18554.49,18493.06
"Jul 22, 2016",20160722,18524.15,18570.85
"Jul 21, 2016",20160721,18589.96,18517.23
"Jul 20, 2016",20160720,18582.7,18595.03
"Jul 19, 2016",20160719,18503.12,18559.01
"Jul 18, 2016",20160718,18521.55,18533.05
"Jul 15, 2016",20160715,18508.88,18516.55
"Jul 14, 2016",20160714,18414.3,18506.41
"Jul 13, 2016",20160713,18356.78,18372.12
"Jul 12, 2016",20160712,18259.12,18347.67
"Jul 11, 2016",20160711,18161.53,18226.93
"Jul 8, 2016",20160708,17971.22,18146.74
"Jul 7, 2016",20160707,17924.24,17895.88
"Jul 6, 2016",20160706,17807.47,17918.62
"Jul 5, 2016",20160705,17904.45,17840.62
"Jul 1, 2016",20160701,17924.24,17949.37
"Jun 30, 2016",20160630,17712.76,17929.99
"Jun 29, 2016",20160629,17456.02,17694.68
"Jun 28, 2016",20160628,17190.51,17409.72
"Jun 27, 2016",20160627,17355.21,17140.24
"Jun 24, 2016",20160624,17946.63,17400.75
"Jun 23, 2016",20160623,17844.11,18011.07
"Jun 22, 2016",20160622,17832.67,17780.83
"Jun 21, 2016",20160621,17827.33,17829.73
"Jun 20, 2016",20160620,17736.87,17804.87
"Jun 17, 2016",20160617,17733.44,17675.16
"Jun 16, 2016",20160616,17602.23,17733.1
"Jun 15, 2016",20160615,17703.65,17640.17
"Jun 14, 2016",20160614,17710.77,17674.82
"Jun 13, 2016",20160613,17830.5,17732.48
"Jun 10, 2016",20160610,17938.82,17865.34
"Jun 9, 2016",20160609,17969.98,17985.19
"Jun 8, 2016",20160608,17931.91,18005.05
"Jun 7, 2016",20160607,17936.22,17938.28
"Jun 6, 2016",20160606,17825.69,17920.33
"Jun 3, 2016",20160603,17799.8,17807.06
"Jun 2, 2016",20160602,17789.05,17838.56
"Jun 1, 2016",20160601,17754.55,17789.67
"May 31, 2016",20160531,17891.5,17787.2
"May 27, 2016",20160527,17826.85,17873.22
"May 26, 2016",20160526,17859.52,17828.29
"May 25, 2016",20160525,17735.09,17851.51
"May 24, 2016",20160524,17525.19,17706.05
"May 23, 2016",20160523,17507.04,17492.93
"May 20, 2016",20160520,17437.32,17500.94
"May 19, 2016",20160519,17514.16,17435.4
"May 18, 2016",20160518,17501.28,17526.62
"May 17, 2016",20160517,17701.46,17529.98
"May 16, 2016",20160516,17531.76,17710.71
"May 13, 2016",20160513,17711.12,17535.32
"May 12, 2016",20160512,17722.01,17720.5
"May 11, 2016",20160511,17919.03,17711.12
"May 10, 2016",20160510,17726.66,17928.35
"May 9, 2016",20160509,17743.85,17705.91
"May 6, 2016",20160506,17650.3,17740.63
"May 5, 2016",20160505,17664.48,17660.71
"May 4, 2016",20160504,17735.02,17651.26
"May 3, 2016",20160503,17870.75,17750.91
"May 2, 2016",20160502,17783.78,17891.16
"Apr 29, 2016",20160429,17813.09,17773.64
"Apr 28, 2016",20160428,18023.88,17830.76
"Apr 27, 2016",20160427,17996.14,18041.55
"Apr 26, 2016",20160426,17987.38,17990.32
"Apr 25, 2016",20160425,17990.94,17977.24
"Apr 22, 2016",20160422,17985.05,18003.75
"Apr 21, 2016",20160421,18092.84,17982.52
"Apr 20, 2016",20160420,18059.49,18096.27
"Apr 19, 2016",20160419,18012.1,18053.6
"Apr 18, 2016",20160418,17890.2,18004.16
"Apr 15, 2016",20160415,17925.95,17897.46
"Apr 14, 2016",20160414,17912.25,17926.43
"Apr 13, 2016",20160413,17741.66,17908.28
"Apr 12, 2016",20160412,17571.34,17721.25
"Apr 11, 2016",20160411,17586.48,17556.41
"Apr 8, 2016",20160408,17555.39,17576.96
"Apr 7, 2016",20160407,17687.28,17541.96
"Apr 6, 2016",20160406,17605.45,17716.05
"Apr 5, 2016",20160405,17718.03,17603.32
"Apr 4, 2016",20160404,17799.39,17737.0
"Apr 1, 2016",20160401,17661.74,17792.75
"Mar 31, 2016",20160331,17716.05,17685.09
"Mar 30, 2016",20160330,17652.36,17716.66
"Mar 29, 2016",20160329,17512.58,17633.11
"Mar 28, 2016",20160328,17526.08,17535.39
"Mar 24, 2016",20160324,17485.33,17515.73
"Mar 23, 2016",20160323,17588.81,17502.59
"Mar 22, 2016",20160322,17602.71,17582.57
"Mar 21, 2016",20160321,17589.7,17623.87
"Mar 18, 2016",20160318,17481.49,17602.3
"Mar 17, 2016",20160317,17321.38,17481.49
"Mar 16, 2016",20160316,17249.34,17325.76
"Mar 15, 2016",20160315,17217.15,17251.53
"Mar 14, 2016",20160314,17207.49,17229.13
"Mar 11, 2016",20160311,17014.99,17213.31
"Mar 10, 2016",20160310,17006.05,16995.13
"Mar 9, 2016",20160309,16969.17,17000.36
"Mar 8, 2016",20160308,17050.67,16964.1
"Mar 7, 2016",20160307,16991.29,17073.95
"Mar 4, 2016",20160304,16945.0,17006.77
"Mar 3, 2016",20160303,16896.17,16943.9
"Mar 2, 2016",20160302,16851.17,16899.32
"Mar 1, 2016",20160301,16545.67,16865.08
"Feb 29, 2016",20160229,16634.15,16516.5
"Feb 26, 2016",20160226,16712.7,16639.97
"Feb 25, 2016",20160225,16504.38,16697.29
"Feb 24, 2016",20160224,16418.84,16484.99
"Feb 23, 2016",20160223,16610.39,16431.78
"Feb 22, 2016",20160222,16417.13,16620.66
"Feb 19, 2016",20160219,16410.96,16391.99
"Feb 18, 2016",20160218,16483.76,16413.43
"Feb 17, 2016",20160217,16217.98,16453.83
"Feb 16, 2016",20160216,16012.39,16196.41
"Feb 12, 2016",20160212,15691.62,15973.84
"Feb 11, 2016",20160211,15897.82,15660.18
"Feb 10, 2016",20160210,16035.61,15914.74
"Feb 9, 2016",20160209,16005.41,16014.38
"Feb 8, 2016",20160208,16147.51,16027.05
"Feb 5, 2016",20160205,16417.95,16204.83
"Feb 4, 2016",20160204,16329.67,16416.58
"Feb 3, 2016",20160203,16186.2,16336.66
"Feb 2, 2016",20160202,16420.21,16153.54
"Feb 1, 2016",20160201,16453.63,16449.18
"Jan 29, 2016",20160129,16090.26,16466.3
"Jan 28, 2016",20160128,15960.28,16069.64
"Jan 27, 2016",20160127,16168.74,15944.46
"Jan 26, 2016",20160126,15893.16,16167.23
"Jan 25, 2016",20160125,16086.46,15885.22
"Jan 22, 2016",20160122,15921.1,16093.51
"Jan 21, 2016",20160121,15768.87,15882.68
"Jan 20, 2016",20160120,15989.45,15766.74
"Jan 19, 2016",20160119,16009.45,16016.02
"Jan 15, 2016",20160115,16354.33,15988.08
"Jan 14, 2016",20160114,16159.01,16379.05
"Jan 13, 2016",20160113,16526.63,16151.41
"Jan 12, 2016",20160112,16419.11,16516.22
"Jan 11, 2016",20160111,16358.71,16398.57
"Jan 8, 2016",20160108,16519.17,16346.45
"Jan 7, 2016",20160107,16888.36,16514.1
"Jan 6, 2016",20160106,17154.83,16906.51
"Jan 5, 2016",20160105,17147.5,17158.66
"Jan 4, 2016",20160104,17405.48,17148.94
"Dec 31, 2015",20151131,17590.66,17425.03
"Dec 30, 2015",20151130,17711.94,17603.87
"Dec 29, 2015",20151129,17547.37,17720.98
"Dec 28, 2015",20151128,17535.66,17528.27
"Dec 24, 2015",20151124,17593.26,17552.17
"Dec 23, 2015",20151123,17427.63,17602.61
"Dec 22, 2015",20151122,17253.55,17417.27
"Dec 21, 2015",20151121,17154.94,17251.62
"Dec 18, 2015",20151118,17495.04,17128.55
"Dec 17, 2015",20151117,17756.54,17495.84
"Dec 16, 2015",20151116,17530.85,17749.09
"Dec 15, 2015",20151115,17374.78,17524.91
