date,date_format,open,close
"Dec 12, 2016",20161112,22860.27,22433.02
"Dec 9, 2016",20161109,22765.84,22760.98
"Dec 8, 2016",20161108,23027.38,22861.84
"Dec 7, 2016",20161107,22805.13,22800.92
"Dec 6, 2016",20161106,22694.27,22675.15
"Dec 5, 2016",20161105,22580.75,22505.55
"Dec 2, 2016",20161102,22736.84,22564.82
"Dec 1, 2016",20161101,22948.65,22878.23
"Nov 30, 2016",20161130,22842.36,22789.77
"Nov 29, 2016",20161129,22739.51,22737.07
"Nov 28, 2016",20161128,22738.94,22830.57
"Nov 25, 2016",20161125,22609.22,22723.45
"Nov 24, 2016",20161124,22574.82,22608.49
"Nov 23, 2016",20161123,22702.41,22676.69
"Nov 22, 2016",20161122,22491.71,22678.07
"Nov 21, 2016",20161121,22313.04,22357.78
"Nov 18, 2016",20161118,22239.23,22344.21
"Nov 17, 2016",20161117,22170.07,22262.88
"Nov 16, 2016",20161116,22439.98,22280.53
"Nov 15, 2016",20161115,22270.9,22323.91
"Nov 14, 2016",20161114,22344.23,22222.22
"Nov 11, 2016",20161111,22622.46,22531.09
"Nov 10, 2016",20161110,22848.74,22839.11
"Nov 9, 2016",20161109,23048.32,22415.19
"Nov 8, 2016",20161108,22981.91,22909.47
"Nov 7, 2016",20161107,22682.71,22801.4
"Nov 4, 2016",20161104,22611.54,22642.62
"Nov 3, 2016",20161103,22708.55,22683.51
"Nov 2, 2016",20161102,22946.06,22810.5
"Nov 1, 2016",20161101,23015.06,23147.07
"Oct 31, 2016",20161031,22845.82,22934.54
"Oct 28, 2016",20161028,23088.83,22954.81
"Oct 27, 2016",20161027,23347.19,23132.35
"Oct 26, 2016",20161026,23396.14,23325.43
"Oct 25, 2016",20161025,23581.69,23565.11
"Oct 24, 2016",20161024,23431.63,23604.08
"Oct 20, 2016",20161020,23412.68,23374.4
"Oct 19, 2016",20161019,23393.8,23304.97
"Oct 18, 2016",20161018,23130.2,23394.39
"Oct 17, 2016",20161017,23164.54,23037.54
"Oct 14, 2016",20161014,23119.96,23233.31
"Oct 13, 2016",20161013,23300.38,23031.3
"Oct 12, 2016",20161012,23386.92,23407.05
"Oct 11, 2016",20161011,24013.84,23549.52
"Oct 7, 2016",20161007,23948.95,23851.82
"Oct 6, 2016",20161006,23859.41,23952.5
"Oct 5, 2016",20161005,23619.91,23788.31
"Oct 4, 2016",20161004,23665.35,23689.44
"Oct 3, 2016",20161003,23652.83,23584.43
"Sep 30, 2016",20160930,23435.29,23297.15
"Sep 29, 2016",20160929,23828.6,23739.47
"Sep 28, 2016",20160928,23455.73,23619.65
"Sep 27, 2016",20160927,23356.03,23571.9
"Sep 26, 2016",20160926,23554.83,23317.92
"Sep 23, 2016",20160923,23836.6,23686.48
"Sep 22, 2016",20160922,23920.18,23759.8
"Sep 21, 2016",20160921,23522.86,23669.9
"Sep 20, 2016",20160920,23494.01,23530.86
"Sep 19, 2016",20160919,23486.62,23550.45
"Sep 15, 2016",20160915,23237.2,23335.59
"Sep 14, 2016",20160914,23225.58,23190.64
"Sep 13, 2016",20160913,23564.13,23215.76
"Sep 12, 2016",20160912,23596.03,23290.6
"Sep 9, 2016",20160909,23924.77,24099.7
"Sep 8, 2016",20160908,23704.36,23919.34
"Sep 7, 2016",20160907,23785.23,23741.81
"Sep 6, 2016",20160906,23683.28,23787.68
"Sep 5, 2016",20160905,23576.31,23649.55
"Sep 2, 2016",20160902,23157.01,23266.7
"Sep 1, 2016",20160901,22897.16,23162.34
"Aug 31, 2016",20160831,23043.08,22976.88
"Aug 30, 2016",20160830,22945.08,23016.11
"Aug 29, 2016",20160829,22904.2,22821.34
"Aug 26, 2016",20160826,22827.22,22909.54
"Aug 25, 2016",20160825,22814.37,22826.87
"Aug 24, 2016",20160824,23010.63,22820.78
"Aug 23, 2016",20160823,22927.47,22998.93
"Aug 22, 2016",20160822,22941.53,22997.91
"Aug 19, 2016",20160819,23153.74,22937.22
"Aug 18, 2016",20160818,23046.69,23023.16
"Aug 17, 2016",20160817,22995.51,22799.78
"Aug 16, 2016",20160816,23008.09,22910.84
"Aug 15, 2016",20160815,22765.23,22932.51
"Aug 12, 2016",20160812,22788.88,22766.91
"Aug 11, 2016",20160811,22412.31,22580.55
"Aug 10, 2016",20160810,22511.1,22492.43
"Aug 9, 2016",20160809,22464.1,22465.61
"Aug 8, 2016",20160808,22324.18,22494.76
"Aug 5, 2016",20160805,21961.05,22146.09
"Aug 4, 2016",20160804,21873.36,21832.23
"Aug 3, 2016",20160803,21743.32,21739.12
"Aug 1, 2016",20160801,22027.65,22129.14
"Jul 29, 2016",20160729,22055.95,21891.37
"Jul 28, 2016",20160728,22134.12,22174.34
"Jul 27, 2016",20160727,22193.31,22218.99
"Jul 26, 2016",20160726,21890.89,22129.73
"Jul 25, 2016",20160725,22071.77,21993.44
"Jul 22, 2016",20160722,21913.04,21964.27
"Jul 21, 2016",20160721,21971.97,22000.49
"Jul 20, 2016",20160720,21646.39,21882.48
"Jul 19, 2016",20160719,21734.34,21673.2
"Jul 18, 2016",20160718,21656.88,21803.18
"Jul 15, 2016",20160715,21589.08,21659.25
"Jul 14, 2016",20160714,21297.54,21561.06
"Jul 13, 2016",20160713,21356.64,21322.37
"Jul 12, 2016",20160712,21046.94,21224.74
"Jul 11, 2016",20160711,20951.17,20880.5
"Jul 8, 2016",20160708,20622.83,20564.17
"Jul 7, 2016",20160707,20606.68,20706.92
"Jul 6, 2016",20160706,20475.4,20495.29
"Jul 5, 2016",20160705,20919.52,20750.72
"Jul 4, 2016",20160704,20967.47,21059.2
"Jun 30, 2016",20160630,20736.85,20794.37
"Jun 29, 2016",20160629,20217.07,20436.12
"Jun 28, 2016",20160628,19898.75,20172.46
"Jun 27, 2016",20160627,19982.66,20227.3
"Jun 24, 2016",20160624,20483.51,20259.13
"Jun 23, 2016",20160623,20862.59,20868.34
"Jun 22, 2016",20160622,20553.94,20795.12
"Jun 21, 2016",20160621,20522.36,20668.44
"Jun 20, 2016",20160620,20425.06,20510.2
"Jun 17, 2016",20160617,20244.23,20169.98
"Jun 16, 2016",20160616,20284.91,20038.42
"Jun 15, 2016",20160615,20161.01,20467.52
"Jun 14, 2016",20160614,20476.75,20387.53
"Jun 13, 2016",20160613,20647.51,20512.99
"Jun 10, 2016",20160610,21240.08,21042.64
"Jun 8, 2016",20160608,21294.27,21297.88
"Jun 7, 2016",20160607,21218.96,21328.24
"Jun 6, 2016",20160606,20971.13,21030.22
"Jun 3, 2016",20160603,20956.08,20947.24
"Jun 2, 2016",20160602,20769.81,20859.22
"Jun 1, 2016",20160601,20726.53,20760.98
"May 31, 2016",20160531,20617.33,20815.09
"May 30, 2016",20160530,20523.67,20629.39
"May 27, 2016",20160527,20425.0,20576.77
"May 26, 2016",20160526,20373.48,20397.11
"May 25, 2016",20160525,20156.76,20368.05
"May 24, 2016",20160524,19828.02,19830.43
"May 23, 2016",20160523,19788.13,19809.03
"May 20, 2016",20160520,19631.71,19852.2
"May 19, 2016",20160519,19729.63,19694.33
"May 18, 2016",20160518,19862.42,19826.41
"May 17, 2016",20160517,19987.24,20118.8
"May 16, 2016",20160516,19711.77,19883.95
"May 13, 2016",20160513,19843.49,19719.29
"May 12, 2016",20160512,20100.5,19915.46
"May 11, 2016",20160511,20347.76,20055.29
"May 10, 2016",20160510,19962.43,20242.68
"May 9, 2016",20160509,20279.9,20156.81
"May 6, 2016",20160506,20357.45,20109.87
"May 5, 2016",20160505,20363.86,20449.82
"May 4, 2016",20160504,20556.5,20525.83
"May 3, 2016",20160503,21061.77,20676.94
"Apr 29, 2016",20160429,21215.2,21067.05
"Apr 28, 2016",20160428,21488.96,21388.03
"Apr 27, 2016",20160427,21372.33,21361.6
"Apr 26, 2016",20160426,21380.02,21407.27
"Apr 25, 2016",20160425,21408.56,21304.44
"Apr 22, 2016",20160422,21448.15,21467.04
"Apr 21, 2016",20160421,21406.4,21622.25
"Apr 20, 2016",20160420,21452.82,21236.31
"Apr 19, 2016",20160419,21438.13,21436.21
"Apr 18, 2016",20160418,21129.68,21161.5
"Apr 15, 2016",20160415,21374.65,21316.47
"Apr 14, 2016",20160414,21456.61,21337.81
"Apr 13, 2016",20160413,20739.34,21158.71
"Apr 12, 2016",20160412,20440.72,20504.44
"Apr 11, 2016",20160411,20255.84,20440.81
"Apr 8, 2016",20160408,20061.6,20370.4
"Apr 7, 2016",20160407,20297.82,20266.05
"Apr 6, 2016",20160406,20100.0,20206.67
"Apr 5, 2016",20160405,20311.86,20177.0
"Apr 1, 2016",20160401,20786.18,20498.92
"Mar 31, 2016",20160331,20811.46,20776.7
"Mar 30, 2016",20160330,20545.44,20803.39
"Mar 29, 2016",20160329,20386.32,20366.3
"Mar 24, 2016",20160324,20450.69,20345.61
"Mar 23, 2016",20160323,20629.4,20615.23
"Mar 22, 2016",20160322,20765.07,20666.75
"Mar 21, 2016",20160321,20738.25,20684.15
"Mar 18, 2016",20160318,20599.19,20671.63
"Mar 17, 2016",20160317,20580.06,20503.81
"Mar 16, 2016",20160316,20339.9,20257.7
"Mar 15, 2016",20160315,20298.15,20288.77
"Mar 14, 2016",20160314,20371.59,20435.34
"Mar 11, 2016",20160311,19900.67,20199.6
"Mar 10, 2016",20160310,20055.42,19984.42
"Mar 9, 2016",20160309,19898.74,19996.26
"Mar 8, 2016",20160308,20132.1,20011.58
"Mar 7, 2016",20160307,20306.09,20159.72
"Mar 4, 2016",20160304,20052.1,20176.7
"Mar 3, 2016",20160303,20082.01,19941.76
"Mar 2, 2016",20160302,19788.17,20003.49
"Mar 1, 2016",20160301,19259.99,19407.46
"Feb 29, 2016",20160229,19366.17,19111.93
"Feb 26, 2016",20160226,19179.95,19364.15
"Feb 25, 2016",20160225,19215.49,18888.75
"Feb 24, 2016",20160224,19282.34,19192.45
"Feb 23, 2016",20160223,19506.94,19414.78
"Feb 22, 2016",20160222,19374.24,19464.09
"Feb 19, 2016",20160219,19238.43,19285.5
"Feb 18, 2016",20160218,19409.21,19363.08
"Feb 17, 2016",20160217,19198.18,18924.57
"Feb 16, 2016",20160216,19013.74,19122.08
"Feb 15, 2016",20160215,18668.87,18918.14
"Feb 12, 2016",20160212,18278.8,18319.58
"Feb 11, 2016",20160211,18486.93,18545.8
"Feb 5, 2016",20160205,19287.36,19288.17
"Feb 4, 2016",20160204,19190.36,19183.09
"Feb 3, 2016",20160203,18910.88,18991.59
"Feb 2, 2016",20160202,19474.87,19446.84
"Feb 1, 2016",20160201,19770.96,19595.5
"Jan 29, 2016",20160129,19138.42,19683.11
"Jan 28, 2016",20160128,19093.77,19195.83
"Jan 27, 2016",20160127,19211.86,19052.45
"Jan 26, 2016",20160126,19068.84,18860.8
"Jan 25, 2016",20160125,19341.41,19340.14
"Jan 22, 2016",20160122,19000.79,19080.51
"Jan 21, 2016",20160121,19079.13,18542.15
