date,date_format,open,close
"Dec 12, 2016",20161112,10774.59,10302.85
"Dec 9, 2016",20161109,10802.18,10789.62
"Dec 8, 2016",20161108,10865.22,10812.3
"Dec 7, 2016",20161107,10780.21,10855.72
"Dec 6, 2016",20161106,10798.8,10779.77
"Dec 5, 2016",20161105,10776.12,10784.33
"Dec 2, 2016",20161102,11074.54,10912.63
"Dec 1, 2016",20161101,11037.11,11088.16
"Nov 30, 2016",20161130,11023.66,11012.19
"Nov 29, 2016",20161129,11039.62,11034.7
"Nov 28, 2016",20161128,11078.77,11068.87
"Nov 25, 2016",20161125,10966.36,11036.53
"Nov 24, 2016",20161124,10960.64,10967.47
"Nov 23, 2016",20161123,11011.0,10973.8
"Nov 22, 2016",20161122,10910.42,10985.6
"Nov 21, 2016",20161121,10877.08,10899.92
"Nov 18, 2016",20161118,10946.88,10889.11
"Nov 17, 2016",20161117,10942.1,10945.42
"Nov 16, 2016",20161116,10970.7,10968.08
"Nov 15, 2016",20161115,10910.15,10958.1
"Nov 14, 2016",20161114,10855.98,10907.53
"Nov 11, 2016",20161111,10823.93,10876.67
"Nov 10, 2016",20161110,10777.1,10821.66
"Nov 9, 2016",20161109,10768.86,10697.11
"Nov 8, 2016",20161108,10734.07,10763.13
"Nov 7, 2016",20161107,10704.26,10695.18
"Nov 4, 2016",20161104,10737.91,10702.57
"Nov 3, 2016",20161103,10662.16,10743.96
"Nov 2, 2016",20161102,10771.35,10692.65
"Nov 1, 2016",20161101,10714.82,10796.14
"Oct 31, 2016",20161031,10685.36,10704.3
"Oct 28, 2016",20161028,10783.28,10711.04
"Oct 27, 2016",20161027,10805.8,10788.97
"Oct 26, 2016",20161026,10871.24,10817.51
"Oct 25, 2016",20161025,10846.76,10871.51
"Oct 24, 2016",20161024,10755.49,10842.64
"Oct 21, 2016",20161021,10783.56,10748.9
"Oct 20, 2016",20161020,10763.46,10784.33
"Oct 19, 2016",20161019,10811.27,10757.92
